LEGEND:
- CBO: Coupling between objects
- DIT: Depth of inheritance tree
- LCOM: Lack of cohesien of methods
- NOC: Number of children
- RFC: Response of class
- WMC: Weighted method complexity
+---------------------------------------------------------------------+------+-----+------+-----+-----+-------+
|                                Class                                | CBO  | DIT | LCOM | NOC | RFC |  WMC  |
|                       com.example.demo.LoanApp                      | 39.0 | 2.0 | 3.0  | 0.0 |  24 |  16.0 |
|                   com.example.demo.LoanController                   | 6.0  | 1.0 | 33.0 | 0.0 | 135 | 136.0 |
|                     com.example.demo.LoanManager                    | 16.0 | 1.0 | 1.0  | 0.0 | 180 | 109.0 |
|                   com.example.demo.LoanManagerTest                  | 4.0  | 3.0 | 2.0  | 0.0 |  71 |  3.0  |
|                com.example.demo.LoansGraphController                | 7.0  | 1.0 | 2.0  | 0.0 |  30 |  12.0 |
|                  com.example.demo.LoansGraphManager                 | 5.0  | 1.0 | 1.0  | 0.0 |  23 |  6.0  |
|                     com.example.demo.LoansModel                     | 6.0  | 1.0 | 7.0  | 0.0 |  21 |  15.0 |
|                com.example.demo.LogOutViewController                | 0.0  | 1.0 | 1.0  | 0.0 |  1  |  1.0  |
|                   com.example.demo.LoginController                  | 13.0 | 1.0 | 1.0  | 0.0 |  20 |  11.0 |
|                    com.example.demo.LoginManager                    | 48.0 | 1.0 | 1.0  | 0.0 |  44 |  13.0 |
|                  com.example.demo.LoginManagerTest                  | 8.0  | 3.0 | 2.0  | 0.0 |  46 |  4.0  |
|                com.example.demo.ManageUsersController               | 5.0  | 1.0 | 1.0  | 0.0 |  42 |  10.0 |
|                 com.example.demo.ManageUsersManager                 | 14.0 | 1.0 | 3.0  | 0.0 |  64 |  31.0 |
|               com.example.demo.ManageUsersManagerTest               | 9.0  | 3.0 | 2.0  | 0.0 |  48 |  4.0  |
|               com.example.demo.ManagerPanelController               | 5.0  | 1.0 | 2.0  | 0.0 |  49 |  14.0 |
|                 com.example.demo.ManagerPanelManager                | 19.0 | 1.0 | 1.0  | 0.0 |  42 |  10.0 |
|                    com.example.demo.MessageModel                    | 5.0  | 1.0 | 5.0  | 0.0 |  13 |  8.0  |
|               com.example.demo.MessagesPanelController              | 8.0  | 1.0 | 1.0  | 0.0 |  32 |  7.0  |
|                com.example.demo.MessagesPanelManager                | 17.0 | 1.0 | 2.0  | 0.0 |  48 |  16.0 |
|              com.example.demo.MessagesPanelManagerTest              | 12.0 | 3.0 | 2.0  | 0.0 |  54 |  6.0  |
|                       com.example.demo.Metrics                      | 0.0  | 1.0 | 1.0  | 0.0 |  11 |  4.0  |
|               com.example.demo.ModifyAccountController              | 2.0  | 1.0 | 4.0  | 0.0 |  11 |  4.0  |
|                com.example.demo.ModifyAccountManager                | 18.0 | 1.0 | 1.0  | 0.0 |  41 |  12.0 |
|                com.example.demo.ModifyUserController                | 4.0  | 1.0 | 1.0  | 0.0 |  39 |  8.0  |
|                  com.example.demo.ModifyUserManager                 | 9.0  | 1.0 | 3.0  | 0.0 |  62 |  30.0 |
|                 com.example.demo.NAME_EDUCATION_TYPE                | 2.0  | nan | 3.0  | nan |  6  |  3.0  |
|                 com.example.demo.NAME_FAMILY_STATUS                 | 2.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.NAME_HOUSING_TYPE                 | 2.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.OCCUPATION_TYPE                  | 2.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.ORGANIZATION_TYPE                 | 2.0  | nan | 3.0  | nan |  6  |  3.0  |
|                     com.example.demo.PostgreSQL                     | 43.0 | 1.0 | 2.0  | 0.0 |  47 |  32.0 |
|                com.example.demo.REGION_RATING_CLIENT                | 2.0  | nan | 3.0  | nan |  6  |  3.0  |
|                 com.example.demo.RegisterController                 | 1.0  | 1.0 | 1.0  | 0.0 |  5  |  1.0  |
|                   com.example.demo.RegisterManager                  | 7.0  | 1.0 | 1.0  | 0.0 |  43 |  20.0 |
|               com.example.demo.ReplyMessageController               | 8.0  | 1.0 | 1.0  | 0.0 |  21 |  3.0  |
|                 com.example.demo.ReplyMessageManager                | 9.0  | 1.0 | 1.0  | 0.0 |  51 |  9.0  |
|                 com.example.demo.RequestNewLoanTest                 | 9.0  | 3.0 | 2.0  | 0.0 |  46 |  3.0  |
|                com.example.demo.SendMessageController               | 10.0 | 1.0 | 1.0  | 0.0 |  47 |  9.0  |
|                 com.example.demo.SendMessageManager                 | 8.0  | 1.0 | 1.0  | 0.0 |  30 |  6.0  |
|               com.example.demo.SendMessageManagerTest               | 8.0  | 3.0 | 2.0  | 0.0 |  47 |  4.0  |
|                   com.example.demo.ThreadWorker_1                   | 2.0  | 2.0 | 3.0  | 0.0 |  13 |  7.0  |
|                   com.example.demo.ThreadWorker_2                   | 2.0  | 2.0 | 3.0  | 0.0 |  13 |  6.0  |
|                   com.example.demo.ThreadWorker_3                   | 2.0  | 2.0 | 3.0  | 0.0 |  13 |  8.0  |
|                 com.example.demo.TodoListController                 | 10.0 | 1.0 | 1.0  | 0.0 |  48 |  10.0 |
|                   com.example.demo.TodoListManager                  | 8.0  | 1.0 | 1.0  | 0.0 |  45 |  16.0 |
|                 com.example.demo.TodoListManagerTest                | 9.0  | 3.0 | 2.0  | 0.0 |  53 |  6.0  |
|                    com.example.demo.TodoListModel                   | 3.0  | 1.0 | 4.0  | 0.0 |  15 |  9.0  |
|                 com.example.demo.UserPanelController                | 8.0  | 1.0 | 3.0  | 0.0 |  35 |  8.0  |
|                  com.example.demo.UserPanelManager                  | 26.0 | 1.0 | 1.0  | 0.0 |  42 |  12.0 |
|                 com.example.demo.ViewLoansController                | 7.0  | 1.0 | 4.0  | 0.0 |  32 |  13.0 |
|                  com.example.demo.ViewLoansManager                  | 9.0  | 1.0 | 1.0  | 0.0 |  40 |  11.0 |
|                com.example.demo.ViewMessageController               | 7.0  | 1.0 | 1.0  | 0.0 |  18 |  3.0  |
|                 com.example.demo.ViewMessageManager                 | 9.0  | 1.0 | 1.0  | 0.0 |  36 |  8.0  |
|                  com.example.demo.WelcomeController                 | 12.0 | 1.0 | 1.0  | 0.0 |  5  |  2.0  |
|                   com.example.demo.WelcomeManager                   | 18.0 | 1.0 | 1.0  | 0.0 |  23 |  6.0  |
|                 com.example.demo.WithdrawController                 | 2.0  | 1.0 | 1.0  | 0.0 |  10 |  7.0  |
|                   com.example.demo.WithdrawManager                  | 6.0  | 1.0 | 1.0  | 0.0 |  33 |  6.0  |
|                 com.example.demo.WithdrawManagerTest                | 8.0  | 3.0 | 2.0  | 0.0 |  41 |  3.0  |
|                    core.ann.classifier.Activation                   | nan  | nan | nan  | nan |  6  |  nan  |
|                 core.ann.classifier.Activation_ReLU                 | 5.0  | 1.0 | 3.0  | 0.0 |  13 |  11.0 |
|                core.ann.classifier.Activation_Sigmoid               | 7.0  | 1.0 | 3.0  | 0.0 |  17 |  9.0  |
|    core.ann.classifier.Activation_Sigmoid_Loss_BinaryCrossEntropy   | 11.0 | 1.0 | 3.0  | 0.0 |  24 |  12.0 |
|                core.ann.classifier.Activation_SoftMax               | 7.0  | 1.0 | 3.0  | 0.0 |  22 |  8.0  |
| core.ann.classifier.Activation_Softmax_Loss_CategoricalCrossEntropy | 11.0 | 1.0 | 4.0  | 0.0 |  28 |  14.0 |
|                     core.ann.classifier.Dataset                     | 5.0  | 1.0 | 5.0  | 0.0 |  16 |  16.0 |
|              core.ann.classifier.InvalidMatrixArgument              | 4.0  | 4.0 | 0.0  | 0.0 |  6  |  4.0  |
|                core.ann.classifier.InvalidMatrixAxis                | 12.0 | 4.0 | 0.0  | 0.0 |  3  |  1.0  |
|              core.ann.classifier.InvalidMatrixDimension             | 21.0 | 4.0 | 0.0  | 0.0 |  7  |  3.0  |
|              core.ann.classifier.InvalidMatrixOperation             | 18.0 | 4.0 | 0.0  | 0.0 |  5  |  1.0  |
|                    core.ann.classifier.LayerDense                   | 16.0 | 1.0 | 5.0  | 0.0 |  42 |  40.0 |
|                   core.ann.classifier.LayerDropout                  | 7.0  | 1.0 | 1.0  | 0.0 |  10 |  5.0  |
|                       core.ann.classifier.Loss                      | nan  | nan | nan  | nan |  5  |  nan  |
|             core.ann.classifier.Loss_BinaryCrossEntropy             | 8.0  | 1.0 | 4.0  | 0.0 |  29 |  9.0  |
|           core.ann.classifier.Loss_CategoricalCrossEntropy          | 7.0  | 1.0 | 4.0  | 0.0 |  31 |  14.0 |
|                      core.ann.classifier.Matrix                     | 25.0 | 1.0 | 1.0  | 0.0 |  78 | 234.0 |
|              core.ann.classifier.MatrixExceptionHandler             | 8.0  | 3.0 | 0.0  | 5.0 |  4  |  2.0  |
|             core.ann.classifier.MatrixIndexesOutOfBounds            | 19.0 | 4.0 | 0.0  | 0.0 |  6  |  2.0  |
|                  core.ann.classifier.NeuralNetwork                  | 21.0 | 1.0 | 3.0  | 0.0 |  99 |  65.0 |
|                   core.ann.classifier.Optimization                  | nan  | nan | nan  | nan |  5  |  nan  |
|                core.ann.classifier.Optimizer_Adagrad                | 7.0  | 1.0 | 1.0  | 0.0 |  29 |  10.0 |
|                  core.ann.classifier.Optimizer_Adam                 | 7.0  | 1.0 | 1.0  | 0.0 |  36 |  11.0 |
|                core.ann.classifier.Optimizer_RMSprop                | 7.0  | 1.0 | 1.0  | 0.0 |  30 |  11.0 |
|                  core.ann.classifier.Optimizer_SGD                  | 6.0  | 1.0 | 1.0  | 0.0 |  26 |  12.0 |
|                              core.init                              | 3.0  | 1.0 | 1.0  | 0.0 |  10 |  1.0  |
|                core.python.extender.PythonInterpreter               | 2.0  | 1.0 | 1.0  | 0.0 |  13 |  4.0  |
+---------------------------------------------------------------------+------+-----+------+-----+-----+-------+
